date, pm25, pm10, o3, no2, so2, co
2017/7/8, 131, , 17, 7, 1, 7
2017/7/9, 136, , 15, 7, 1, 9
2017/7/10, 155, , 30, 4, 4, 17
2017/7/11, 105, , 28, 3, 2, 11
2017/7/12, 85, , 16, 5, 2, 12
2017/7/13, 82, , 36, 6, 2, 9
2017/7/14, 96, , 13, 7, 2, 18
2017/7/15, 118, , 14, 6, 2, 7
2017/7/16, 110, , 24, 8, 2, 7
2017/7/17, 104, , 12, 4, 3, 8
2017/7/18, 109, , 17, 4, 5, 37
2017/7/19, 133, , 40, 5, 4, 21
2017/7/20, 190, , 32, 6, 1, 5
2017/7/21, 126, , 11, 7, 1, 6
2017/7/22, 83, , 9, 5, , 4
2017/7/23, 82, , 40, 5, 12, 19
2017/7/24, 69, , 23, 4, 14, 27
2017/7/25, 74, , 24, 3, 1, 6
2017/7/26, 79, , 10, 4, 1, 7
2017/7/27, 126, , 8, 2, 2, 7
2017/7/28, 94, , 9, 4, 2, 6
2017/7/29, 77, , 9, 2, 1, 7
2017/7/30, 72, , 6, 2, 2, 6
2017/7/31, 91, , 4, 2, 2, 7
2017/8/1, 83, , 6, 10, 1, 8
2017/8/2, 133, , 8, 9, 2, 5
2017/8/3, 128, , 12, 9, 2, 6
2017/8/4, 151, , 16, 9, 2, 8
2017/8/5, 162, , 16, 5, 2, 9
2017/8/6, 162, , 43, 4, 2, 9
2017/8/7, 135, , 45, 4, 1, 11
2017/8/8, 94, , 18, 6, 1, 8
2017/8/9, 110, , 20, 5, 2, 6
2017/8/10, 252, , 79, 7, 2, 4
2017/8/11, 122, , , , , 
2017/8/14, 138, , 7, 4, 2, 8
2017/8/15, 145, , 19, 6, 2, 7
2017/8/16, 138, , 21, 8, 2, 4
2017/8/17, 190, , , , , 
2017/8/19, 61, , 5, 4, 2, 5
2017/8/21, 95, , 11, 5, 2, 6
2017/8/22, 129, , 10, 1, 2, 3
2017/8/23, 241, , 16, 7, 3, 34
2017/8/24, 123, , 14, 5, 1, 7
2017/8/25, 129, , 31, 6, 2, 6
2017/8/26, 107, , 17, 5, 3, 5
2017/8/27, 97, , 30, 4, 1, 4
2017/8/28, 77, , 11, 3, 1, 11
2017/8/29, 76, , 14, 6, 1, 6
2017/8/30, 92, , 11, 3, 2, 4
2017/8/31, 141, , 23, 3, 2, 1
2017/9/1, 75, , 30, 7, 2, 31
2017/9/2, 117, , 16, 5, 2, 9
2017/9/3, 106, , 12, 7, 1, 10
2017/9/4, 129, , 9, 5, 1, 9
2017/9/5, 100, , , , , 
2017/9/11, 148, , , , , 
2017/9/14, 171, , , , , 
2017/9/16, 162, , 29, 13, 1, 9
2017/9/17, 143, , 22, 13, 2, 21
2017/9/18, 148, , 48, 14, 9, 10
2017/9/19, 159, , 56, 14, 12, 12
2017/9/20, 161, , 11, 9, 9, 9
2017/9/21, 123, , 7, 7, 2, 7
2017/9/22, 71, , 5, 8, 2, 4
2017/9/23, 85, , , , , 
2017/9/25, 177, , 40, 13, 2, 12
2017/9/26, 170, , 27, 9, 4, 33
2017/9/27, 175, , 36, 15, 4, 8
2017/9/28, 157, , 33, 16, 4, 13
2017/9/29, 176, , 31, 13, 5, 18
2017/9/30, 177, , , , , 
2017/4/1, 118, , 1, 21, 2, 5
2017/4/2, 148, , 20, 18, 5, 6
2017/4/3, 154, , 7, 17, 4, 11
2017/4/4, 201, , 27, 14, 3, 24
2017/4/5, 124, , 24, 11, 3, 2
2017/4/6, 183, , 48, 11, 6, 18
2017/4/7, 186, , 38, 17, 14, 34
2017/4/8, 176, , 35, 16, 7, 29
2017/4/9, 124, , 39, 17, 5, 24
2017/4/10, 135, , 77, 23, 7, 22
2017/4/11, 311, , 44, 20, 7, 13
2017/4/12, 157, , 32, 30, 9, 27
2017/4/13, 223, , 66, 32, 20, 29
2017/4/14, 291, , 54, 27, 20, 46
2017/4/15, 256, , 99, 31, 14, 18
2017/4/16, 211, , 70, 21, 9, 16
2017/4/17, 219, , 58, 20, 9, 30
